name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
banjul,2025-07-26,81.4,77.3,79.4,85.2,77.3,80.7,70,72.9,0,25.8,0,,0,,13.9,14.3,259.5,1013.3,33.7,15,292,25.4,9,10,2025-07-26T06:49:59,2025-07-26T19:35:43,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
banjul,2025-07-27,80.7,78.5,79.6,84.5,78.5,80.4,71.6,76.6,0.076,38.7,16.67,rain,0,,15.4,13.6,281,1015.1,97.5,14.9,221.9,19.3,8,10,2025-07-27T06:50:14,2025-07-27T19:35:28,0.09,Overcast,Cloudy skies throughout the day.,cloudy,
banjul,2025-07-28,81.2,78.7,79.8,86,78.7,81.1,72.6,78.6,0,35.5,0,,0,,12.1,13.4,296.2,1014.5,89,15,239.8,20.8,9,10,2025-07-28T06:50:27,2025-07-28T19:35:11,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
banjul,2025-07-29,83.2,78.5,80.2,89.8,78.5,82.6,73,78.8,0.012,19.4,12.5,rain,0,,18.6,15.4,251.7,1014.1,94.2,15,221.4,19.2,7,30,2025-07-29T06:50:41,2025-07-29T19:34:54,0.15,Overcast,Cloudy skies throughout the day.,cloudy,
banjul,2025-07-30,83.2,79.1,80.9,89.1,79.1,84.3,73.4,78.1,0.012,29,12.5,rain,0,,18.6,18.3,241.6,1015.7,61.1,15,315.2,27.3,9,30,2025-07-30T06:50:54,2025-07-30T19:34:35,0.18,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
banjul,2025-07-31,83,80.1,81.5,89.7,84.9,87,73.9,78.1,0.016,29,12.5,rain,0,,20.8,17.4,284.8,1015.3,91.5,15,209.1,18,8,30,2025-07-31T06:51:07,2025-07-31T19:34:16,0.22,Overcast,Cloudy skies throughout the day.,cloudy,
banjul,2025-08-01,81.2,78.7,79.8,85.4,78.7,81.3,71.8,76.7,0.024,29,20.83,rain,0,,19.5,17,293,1013.3,94.1,15,197.6,16.8,8,10,2025-08-01T06:51:20,2025-08-01T19:33:56,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
banjul,2025-08-02,80.9,78.3,79.7,84,78.3,80.9,68.9,69.8,0.016,45.2,12.5,rain,0,,13.2,13,278,1012.9,86.8,15,263.9,22.6,9,10,2025-08-02T06:51:32,2025-08-02T19:33:35,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
banjul,2025-08-03,81.4,78.9,80.1,84.3,78.9,81.6,68.9,68.9,0.02,45.2,16.67,rain,0,,14.5,13.9,240.5,1013.8,87.7,15,187.6,16.2,5,10,2025-08-03T06:51:44,2025-08-03T19:33:13,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
banjul,2025-08-04,83.9,76.7,80.2,89.2,76.7,82.2,71.1,74.2,0.016,35.5,12.5,rain,0,,16.3,16.6,219.7,1015.8,31.8,15,253.5,21.9,8,10,2025-08-04T06:51:56,2025-08-04T19:32:50,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
banjul,2025-08-05,81.8,79.1,80.4,86.9,79.1,83.5,72.8,77.8,0.012,38.7,12.5,rain,0,,16.8,15.4,275.2,1016.7,76,15,250.6,21.8,8,10,2025-08-05T06:52:07,2025-08-05T19:32:27,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
banjul,2025-08-06,82.8,80,80.7,87.7,80,84.9,72.5,76,0.059,38.7,12.5,rain,0,,19.9,17.9,304.2,1015,98.1,14.8,80.9,7.4,4,30,2025-08-06T06:52:18,2025-08-06T19:32:02,0.41,Overcast,Cloudy skies throughout the day with storms possible.,cloudy,
banjul,2025-08-07,82.1,79.4,80.6,86.1,79.4,83.4,71.6,74.3,0.016,51.6,16.67,rain,0,,15.2,15,283.3,1013,61,15,272.3,23.4,9,30,2025-08-07T06:52:28,2025-08-07T19:31:37,0.44,"Rain, Partially cloudy",Clearing in the afternoon with storms possible.,rain,
banjul,2025-08-08,81.9,79.1,79.9,85.8,79.1,80.9,70.5,73,0.004,51.6,4.17,rain,0,,18.1,14.8,256.6,1012.6,91.6,15,124.6,10.5,6,10,2025-08-08T06:52:38,2025-08-08T19:31:11,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
banjul,2025-08-09,81.9,79.2,80.6,85.9,79.2,82.9,70.6,71.8,0.008,51.6,8.33,rain,0,,15.2,14.1,256.6,1013.1,90.2,15,263.3,22.5,8,10,2025-08-09T06:52:48,2025-08-09T19:30:44,0.5,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,
