name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sukuta,2025-07-26,87,75.8,80.7,92.2,75.8,82.7,69.7,69.7,0.004,25.8,4.17,rain,0,0,12.1,13,247.9,1013.2,48.9,14.6,245.8,21.4,8,10,2025-07-26T06:50:24,2025-07-26T19:35:20,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"GBYD,GOGG"
sukuta,2025-07-27,85.6,77.6,80.7,91,77.6,82.8,71,72.6,0.028,58.1,20.83,rain,0,0,13.2,10.5,285.7,1015,93.2,15,190,16.3,8,10,2025-07-27T06:50:38,2025-07-27T19:35:05,0.09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
sukuta,2025-07-28,86.1,77.8,81.1,92,77.8,83.8,71.9,74.2,0,41.9,0,,0,0,11.2,13,303.3,1014.4,88.5,15,233.2,20,9,10,2025-07-28T06:50:52,2025-07-28T19:34:49,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
sukuta,2025-07-29,87.2,77.4,81.4,94.4,77.4,84.4,72.1,74,0.024,29,25,rain,0,0,16.8,12.5,237.3,1014,90,15,182.8,15.8,6,30,2025-07-29T06:51:05,2025-07-29T19:34:31,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
sukuta,2025-07-30,87,77.8,81.7,93.4,77.8,85.2,72.5,74.4,0.016,41.9,16.67,rain,0,0,17.7,15.7,240.2,1015.8,66.2,15,295.3,25.2,8,30,2025-07-30T06:51:18,2025-07-30T19:34:13,0.18,Partially cloudy,Clearing in the afternoon with storms possible.,partly-cloudy-day,
sukuta,2025-07-31,86.3,79.2,82.2,92.8,79.2,86.2,73,74.3,0.024,41.9,20.83,rain,0,0,19.7,14.5,287.4,1015.3,94.4,15,196.4,17.3,7,30,2025-07-31T06:51:31,2025-07-31T19:33:54,0.22,Overcast,Cloudy skies throughout the day with storms possible.,cloudy,
sukuta,2025-08-01,85.2,79.3,81,89.8,79.3,82.9,70.9,71.6,0.016,41.9,16.67,rain,0,0,18.6,15.4,294.3,1013.7,78.8,15,243.4,21,9,10,2025-08-01T06:51:43,2025-08-01T19:33:35,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
sukuta,2025-08-02,85.7,78.7,81,89,78.7,82.3,67.7,64.3,0.004,61.3,4.17,rain,0,0,12.3,12.3,275.3,1012.9,92.2,15,256.5,22.2,9,10,2025-08-02T06:51:55,2025-08-02T19:33:14,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
sukuta,2025-08-03,85.7,77.4,80.6,88.4,77.4,81.8,67.7,65.3,0.008,61.3,8.33,rain,0,0,13.5,13,231,1013.8,81.6,15,176.5,15.1,5,10,2025-08-03T06:52:06,2025-08-03T19:32:52,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,
sukuta,2025-08-04,87.3,75.1,80.2,91,75.1,82,70.2,72.5,0.012,41.9,12.5,rain,0,0,17.4,17.4,211.7,1016,42.7,15,198.1,17.1,7,10,2025-08-04T06:52:18,2025-08-04T19:32:30,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
sukuta,2025-08-05,86.1,77.3,81.3,91.6,77.3,84,71.9,73.5,0.016,45.2,12.5,rain,0,0,15.2,12.8,278.4,1016.6,84,15,244.6,21.3,7,30,2025-08-05T06:52:28,2025-08-05T19:32:07,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
sukuta,2025-08-06,83.2,79.1,80.5,87.9,79.1,82.6,71.9,75.1,0.055,45.2,16.67,rain,0,0,16.1,14.3,301.2,1015.2,95,14.8,77.3,6.6,3,10,2025-08-06T06:52:39,2025-08-06T19:31:43,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
sukuta,2025-08-07,88.2,77.6,81.6,93.2,77.6,84,71.3,71.6,0.012,54.8,12.5,rain,0,0,14.1,13.9,280,1013,68.1,15,255.6,22.4,9,10,2025-08-07T06:52:49,2025-08-07T19:31:18,0.44,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain.,rain,
sukuta,2025-08-08,84.8,78.2,80.3,88.8,78.2,81.6,69.9,70.8,0.008,61.3,8.33,rain,0,0,15.9,14.1,257.8,1012.8,100,15,125.3,11,5,10,2025-08-08T06:52:59,2025-08-08T19:30:52,0.47,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
sukuta,2025-08-09,86.8,77.8,81.4,90.4,77.8,83.2,69.6,68,0.004,61.3,4.17,rain,0,0,14.1,13.9,254.7,1013,95.9,15,254.4,22.1,8,10,2025-08-09T06:53:08,2025-08-09T19:30:26,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
